iter	MultiClass
0	1.233821291
1	1.046537382
2	0.9161926401
3	0.8315844139
4	0.7687590071
5	0.7118313187
6	0.6683371407
7	0.6324947618
8	0.6021094199
9	0.5775582489
10	0.5537689168
11	0.5356308302
12	0.518399897
13	0.5069467673
14	0.4931070113
15	0.4845521128
16	0.4748257593
17	0.4679709187
18	0.4602043821
19	0.453062185
20	0.4471364782
21	0.4420862732
22	0.4372287136
23	0.4323434589
24	0.4272620417
25	0.4244234506
26	0.4191156358
27	0.4157850267
28	0.4122626025
29	0.4100872317
30	0.4063174797
31	0.4038054921
32	0.4006016852
33	0.3973742372
34	0.3944478224
35	0.3916863334
36	0.3892810726
37	0.387312195
38	0.3842876257
39	0.3822124853
40	0.3805993719
41	0.3786473215
42	0.3771352444
43	0.3753440902
44	0.3739430871
45	0.3727140192
46	0.3707043071
47	0.3697707283
48	0.3685490605
49	0.3668425306
50	0.3651949813
51	0.3643528409
52	0.3627566768
53	0.3614265237
54	0.3604922612
55	0.3593852575
56	0.3578796036
57	0.3566956931
58	0.3558849845
59	0.3546775063
60	0.3532470496
61	0.351643119
62	0.3505099099
63	0.3493975089
64	0.3486551836
65	0.3474283138
66	0.3463668827
67	0.3455552705
68	0.3448015888
69	0.3442067272
70	0.3434504323
71	0.3426062892
72	0.3416499974
73	0.340878072
74	0.3399146
75	0.3392873052
76	0.3383582203
77	0.3375670743
78	0.3366909375
79	0.3359635589
80	0.3352441665
81	0.3347625526
82	0.3343293932
83	0.3334556011
84	0.3328639145
85	0.3323802979
86	0.3316511365
87	0.3309897478
88	0.3304247551
89	0.329856099
90	0.3292362044
91	0.3284467435
92	0.327880432
93	0.3272565076
94	0.3267021631
95	0.3262841213
96	0.3256913846
97	0.3250412547
98	0.3244790706
99	0.3239269975
100	0.3231957845
101	0.3224160927
102	0.3218634335
103	0.3212637118
104	0.3206714635
105	0.3201563174
106	0.3196885023
107	0.3190017629
108	0.3185582727
109	0.318104696
110	0.3176290901
111	0.3172501489
112	0.3168219228
113	0.3164493803
114	0.315984789
115	0.3154649782
116	0.3151542981
117	0.3147014297
118	0.3144131696
119	0.3136564839
120	0.3131851519
121	0.3127772455
122	0.3122745305
123	0.3119186198
124	0.311246998
125	0.3107863387
126	0.3103644869
127	0.3100298483
128	0.3097118904
129	0.3092905515
130	0.3089379134
131	0.3085144009
132	0.3082397198
133	0.307911138
134	0.3075737885
135	0.3071769455
136	0.3068226956
137	0.3063618653
138	0.3061159052
139	0.3056493357
140	0.3052491223
141	0.3048988288
142	0.3045843389
143	0.3040402276
144	0.3037531886
145	0.3031727609
146	0.3029016943
147	0.3026986203
148	0.3024533196
149	0.3021473531
150	0.3019350718
151	0.3015737149
152	0.3012554394
153	0.3007885768
154	0.3005322371
155	0.3003841384
156	0.2999207193
157	0.2995255615
158	0.299148281
159	0.2987892198
160	0.2985556175
161	0.2983986046
162	0.2981048982
163	0.2978532232
164	0.2975612265
165	0.2970297905
166	0.2968091566
167	0.2965707187
168	0.2963078581
169	0.2960635343
170	0.2956462252
171	0.295493242
172	0.2952932208
173	0.2952332877
174	0.2949970966
175	0.2945154583
176	0.2940806138
177	0.293599757
178	0.2932550318
179	0.2930646576
180	0.2926877434
181	0.2925467029
182	0.2923493438
183	0.2921150577
184	0.2918513423
185	0.2915348741
186	0.2913179769
187	0.291057119
188	0.2908928525
189	0.2907101958
190	0.2904053284
191	0.2902279225
192	0.2899912919
193	0.2897420103
194	0.2895397911
195	0.2892546571
196	0.2890172449
197	0.2886593315
198	0.2884962862
199	0.2883892663
200	0.2881438679
201	0.2879484626
202	0.287758357
203	0.2875980714
204	0.2873970245
205	0.2871991525
206	0.2869887761
207	0.286757494
