iter	Passed	Remaining
0	122	122863
1	141	70391
2	157	52244
3	171	42766
4	187	37254
5	202	33630
6	218	30925
7	232	28863
8	249	27484
9	264	26185
10	279	25164
11	296	24373
12	313	23832
13	328	23153
14	344	22603
15	360	22141
16	375	21698
17	389	21222
18	410	21208
19	426	20911
20	442	20641
21	458	20387
22	474	20158
23	490	19930
24	507	19804
25	523	19607
26	541	19502
27	557	19362
28	573	19211
29	588	19021
30	604	18886
31	620	18785
32	637	18681
33	655	18614
34	671	18519
35	687	18413
36	702	18283
37	721	18255
38	739	18230
39	755	18131
40	770	18012
41	785	17921
42	803	17873
43	820	17819
44	837	17765
45	852	17680
46	870	17657
47	885	17569
48	902	17518
49	920	17498
50	937	17452
51	952	17372
52	975	17431
53	989	17328
54	1004	17260
55	1020	17203
56	1037	17156
57	1066	17315
58	1080	17237
59	1095	17157
60	1109	17076
61	1126	17048
62	1155	17184
63	1186	17345
64	1217	17515
65	1249	17685
66	1284	17892
67	1321	18113
68	1354	18279
69	1388	18450
70	1423	18627
71	1458	18793
72	1490	18923
73	1527	19108
74	1559	19230
75	1590	19342
76	1623	19465
77	1653	19543
78	1687	19668
79	1721	19797
80	1763	20011
81	1794	20089
82	1825	20163
83	1857	20251
84	1888	20330
85	1933	20553
86	1968	20656
87	1999	20718
88	2033	20812
89	2064	20872
90	2096	20938
91	2131	21037
92	2163	21098
93	2194	21155
94	2227	21218
95	2259	21277
96	2293	21347
97	2325	21405
98	2359	21477
99	2392	21530
100	2428	21618
101	2461	21667
102	2495	21729
103	2531	21813
104	2567	21885
105	2602	21948
106	2634	21985
107	2670	22052
108	2703	22097
109	2744	22206
110	2778	22253
111	2812	22299
112	2845	22339
113	2879	22382
114	2912	22414
115	2945	22449
116	2978	22479
117	3014	22531
118	3046	22551
119	3081	22595
120	3116	22642
121	3146	22644
122	3182	22692
123	3216	22720
124	3248	22739
125	3284	22781
126	3316	22796
127	3348	22811
128	3383	22842
129	3417	22868
130	3452	22901
131	3489	22945
132	3520	22948
133	3554	22970
134	3585	22974
135	3632	23075
136	3660	23058
137	3697	23096
138	3728	23097
139	3762	23115
140	3797	23132
141	3832	23158
142	3865	23166
143	3901	23192
144	3935	23208
145	3971	23229
146	4004	23237
147	4036	23236
148	4065	23217
149	4098	23227
150	4131	23230
151	4163	23227
152	4194	23220
153	4229	23233
154	4263	23241
155	4296	23243
156	4333	23267
157	4367	23273
158	4401	23280
159	4438	23302
160	4470	23295
161	4503	23294
162	4536	23296
163	4564	23268
164	4599	23275
165	4635	23290
166	4668	23286
167	4700	23276
168	4734	23280
169	4769	23287
170	4802	23283
171	4836	23283
172	4872	23291
173	4899	23258
174	4931	23249
175	4970	23268
176	5004	23270
177	5039	23270
178	5072	23265
179	5106	23264
180	5139	23256
181	5171	23244
182	5203	23229
183	5236	23223
184	5269	23214
185	5305	23217
186	5341	23223
187	5377	23224
188	5412	23222
189	5445	23216
190	5480	23212
191	5511	23196
192	5543	23181
193	5577	23171
194	5616	23184
195	5651	23183
196	5684	23169
197	5718	23162
198	5750	23148
199	5782	23128
200	5812	23107
201	5846	23096
202	5879	23084
203	5911	23067
204	5941	23039
205	5981	23054
206	6016	23049
207	6046	23022
