Timestamp,Packet #,Device ID,PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Pressure (hPa),VOC Index,NOx Index
2026-08-24 21:07:45,51,esp32_01,43.3,67.54,27.53,77.44,947.12,88,1
2026-08-24 21:41:16,91,esp32_01,42.53,66.28,27.15,77.95,948.4,101,1
2026-08-24 21:41:20,92,esp32_01,42.5,66.22,27.15,78.0,948.37,104,1
2026-08-24 21:41:26,93,esp32_01,42.36,66.01,27.15,77.99,948.33,103,1
2026-08-24 21:41:33,94,esp32_01,42.25,65.83,27.15,77.95,948.26,102,1
2026-08-24 21:41:41,95,esp32_01,42.05,65.5,27.17,77.88,948.18,98,1
2026-08-24 21:41:47,96,esp32_01,42.05,65.5,27.15,77.79,948.3,92,1
2026-08-24 21:41:54,97,esp32_01,42.14,65.65,27.15,77.81,948.38,86,1
2026-08-24 21:42:01,98,esp32_01,42.1,65.57,27.13,77.79,948.45,84,1
2026-08-24 21:42:04,99,esp32_01,41.82,65.12,27.12,77.81,948.39,84,1
2026-08-24 21:42:11,100,esp32_01,41.69,64.91,27.11,77.91,948.27,90,1
2026-08-24 21:42:18,101,esp32_01,41.57,64.73,27.12,77.91,948.27,93,1
2026-08-24 21:42:24,102,esp32_01,41.51,64.64,27.11,77.9,948.31,94,1
2026-08-24 21:42:31,103,esp32_01,41.51,64.64,27.11,77.95,948.33,96,1
2026-08-24 21:42:38,104,esp32_01,41.56,64.71,27.11,77.96,948.33,98,1
2026-08-24 21:42:45,105,esp32_01,41.39,64.46,27.12,78.01,948.33,101,1
2026-08-24 21:42:51,106,esp32_01,41.26,64.24,27.13,78.0,948.34,104,1
2026-08-24 21:42:58,107,esp32_01,41.02,63.86,27.14,78.01,948.36,108,1
2026-08-24 21:43:01,108,esp32_01,41.11,64.03,27.14,78.15,948.39,114,1
2026-08-24 21:43:08,109,esp32_01,41.08,63.97,27.16,78.17,948.42,110,1
2026-08-24 21:43:15,110,esp32_01,41.26,64.24,27.16,78.24,948.4,108,1
2026-08-24 21:43:22,111,esp32_01,41.62,64.82,27.17,78.23,948.45,105,1
2026-08-24 21:43:29,112,esp32_01,41.54,64.71,27.18,78.28,948.43,101,1
2026-08-24 21:43:35,113,esp32_01,41.83,65.16,27.17,78.32,948.46,100,1
2026-08-24 21:43:42,114,esp32_01,41.82,65.14,27.16,78.45,948.47,107,1
2026-08-24 21:43:52,115,esp32_01,41.62,64.82,27.16,78.52,948.48,124,1
2026-08-24 21:43:59,116,esp32_01,41.68,64.91,27.15,78.52,948.5,132,1
