iter	Passed	Remaining
0	25	7730
1	49	7329
2	72	7138
3	90	6660
4	107	6367
5	128	6276
6	153	6424
7	173	6317
8	192	6233
9	214	6234
10	235	6177
11	255	6138
12	274	6068
13	295	6041
14	317	6035
15	335	5947
16	357	5945
17	380	5966
18	400	5917
19	418	5864
20	441	5872
21	460	5823
22	490	5908
23	507	5841
24	527	5800
25	548	5779
26	566	5724
27	588	5716
28	606	5670
29	625	5626
30	643	5582
31	660	5528
32	683	5530
33	708	5540
34	726	5498
35	746	5474
36	764	5432
37	782	5397
38	810	5425
39	829	5389
40	845	5340
41	864	5308
42	882	5274
43	904	5262
44	925	5246
45	943	5210
46	961	5174
47	980	5145
48	997	5111
49	1025	5128
50	1046	5111
51	1064	5076
52	1083	5048
53	1102	5024
54	1128	5028
55	1150	5013
56	1168	4980
57	1187	4953
58	1206	4927
59	1229	4918
60	1251	4904
61	1269	4873
62	1286	4838
63	1305	4813
64	1325	4791
65	1350	4787
66	1369	4761
67	1387	4733
68	1409	4718
69	1428	4693
70	1457	4701
71	1474	4668
72	1490	4635
73	1507	4603
74	1524	4573
75	1543	4548
76	1566	4537
77	1584	4508
78	1603	4484
79	1621	4458
80	1640	4434
81	1664	4424
82	1682	4398
83	1702	4377
84	1723	4360
85	1744	4341
86	1766	4323
87	1787	4307
88	1805	4281
89	1825	4260
90	1845	4239
91	1867	4221
92	1889	4205
93	1906	4177
94	1924	4152
95	1940	4123
96	1957	4096
97	1978	4078
98	1994	4050
99	2011	4023
100	2029	3998
101	2049	3977
102	2068	3955
103	2086	3932
104	2106	3912
105	2124	3888
106	2142	3863
107	2164	3848
108	2182	3823
109	2199	3799
110	2218	3777
111	2238	3757
112	2259	3738
113	2277	3715
114	2298	3697
115	2317	3675
116	2335	3653
117	2354	3631
118	2372	3608
119	2398	3597
120	2416	3574
121	2438	3557
122	2457	3536
123	2475	3513
124	2492	3490
125	2512	3470
126	2534	3452
127	2552	3430
128	2568	3405
129	2589	3386
130	2609	3365
131	2635	3354
132	2652	3330
133	2670	3307
134	2688	3285
135	2717	3277
136	2737	3256
137	2754	3234
138	2772	3211
139	2793	3192
140	2815	3174
141	2837	3157
142	2856	3136
143	2874	3114
144	2894	3093
145	2914	3074
146	2932	3051
147	2951	3030
148	2972	3012
149	2999	2999
150	3028	2988
151	3048	2968
152	3069	2949
153	3087	2927
154	3105	2905
155	3126	2885
156	3144	2864
157	3167	2846
158	3188	2827
159	3206	2806
160	3228	2787
161	3255	2772
162	3273	2751
163	3298	2735
164	3317	2714
165	3339	2696
166	3362	2678
167	3383	2658
168	3401	2636
169	3436	2627
170	3457	2608
171	3486	2594
172	3503	2572
173	3525	2552
174	3550	2535
175	3570	2515
176	3590	2495
177	3612	2476
178	3631	2455
179	3665	2443
180	3685	2422
181	3703	2401
182	3727	2383
183	3745	2361
184	3765	2340
185	3784	2319
186	3803	2298
187	3821	2276
188	3843	2257
189	3868	2239
190	3885	2217
191	3904	2196
192	3932	2180
193	3949	2158
194	3967	2136
195	3981	2112
196	4005	2094
197	4023	2072
198	4042	2051
199	4058	2029
200	4080	2009
201	4098	1988
202	4117	1967
203	4134	1945
204	4153	1924
205	4170	1903
206	4191	1883
207	4209	1861
208	4225	1839
209	4243	1818
210	4260	1797
211	4278	1776
212	4306	1758
213	4324	1737
214	4342	1716
215	4358	1695
216	4379	1674
217	4405	1657
218	4427	1637
219	4445	1616
220	4463	1595
221	4482	1574
222	4505	1555
223	4524	1535
224	4543	1514
225	4560	1493
226	4578	1472
227	4604	1453
228	4619	1432
229	4634	1410
230	4654	1390
231	4672	1369
232	4689	1348
233	4719	1331
234	4741	1311
235	4763	1291
236	4778	1270
237	4793	1248
238	4811	1228
239	4839	1209
240	4854	1188
241	4869	1167
242	4884	1145
243	4899	1124
244	4916	1103
245	4941	1084
246	4957	1063
247	4972	1042
248	4994	1023
249	5012	1002
250	5036	983
251	5058	963
252	5076	943
253	5093	922
254	5110	901
255	5126	881
256	5152	862
257	5173	842
258	5189	821
259	5207	801
260	5221	780
261	5243	760
262	5265	740
263	5284	720
264	5299	699
265	5316	679
266	5334	659
267	5353	639
268	5370	618
269	5387	598
270	5405	578
271	5421	558
272	5437	537
273	5458	517
274	5475	497
275	5489	477
276	5504	457
277	5521	436
278	5541	417
279	5559	397
280	5578	377
281	5592	356
282	5611	337
283	5627	317
284	5645	297
285	5663	277
286	5685	257
287	5705	237
288	5723	217
289	5740	197
290	5755	178
291	5780	158
292	5797	138
293	5814	118
294	5832	98
295	5847	79
296	5864	59
297	5891	39
298	5906	19
299	5922	0
