timestamp,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,boundary_layer_height
2026-07-01T00:00:00+00:00,27.7,94,10.0,126,455.0
2026-07-01T01:00:00+00:00,26.9,91,13.8,104,480.0
2026-07-01T02:00:00+00:00,27.0,90,10.4,108,370.0
2026-07-01T03:00:00+00:00,28.5,84,8.7,114,365.0
2026-07-01T04:00:00+00:00,29.7,81,5.2,94,355.0
2026-07-01T05:00:00+00:00,30.7,77,5.6,86,420.0
2026-07-01T06:00:00+00:00,30.3,71,8.6,98,650.0
2026-07-01T07:00:00+00:00,30.8,70,7.2,103,605.0
2026-07-01T08:00:00+00:00,31.3,69,7.2,109,610.0
2026-07-01T09:00:00+00:00,32.2,65,8.1,94,760.0
2026-07-01T10:00:00+00:00,32.7,62,7.9,87,930.0
2026-07-01T11:00:00+00:00,32.1,65,8.0,81,770.0
2026-07-01T12:00:00+00:00,32.6,60,9.4,108,865.0
2026-07-01T13:00:00+00:00,31.2,66,8.0,106,615.0
2026-07-01T14:00:00+00:00,30.4,70,6.9,110,415.0
2026-07-01T15:00:00+00:00,29.9,73,5.8,120,275.0
2026-07-01T16:00:00+00:00,29.8,74,4.6,149,230.0
2026-07-01T17:00:00+00:00,29.7,75,2.9,184,275.0
2026-07-01T18:00:00+00:00,30.2,73,6.6,163,355.0
2026-07-01T19:00:00+00:00,30.2,75,2.3,135,300.0
2026-07-01T20:00:00+00:00,29.7,75,4.7,358,145.0
2026-07-01T21:00:00+00:00,28.9,78,7.3,126,245.0
2026-07-01T22:00:00+00:00,28.1,76,7.1,139,175.0
2026-07-01T23:00:00+00:00,27.9,75,6.6,137,130.0
2026-07-02T00:00:00+00:00,25.9,95,6.5,34,295.0
2026-07-02T01:00:00+00:00,25.9,93,3.8,73,180.0
2026-07-02T02:00:00+00:00,26.1,93,3.8,229,135.0
2026-07-02T03:00:00+00:00,26.8,92,4.0,212,165.0
2026-07-02T04:00:00+00:00,28.3,82,4.3,204,300.0
2026-07-02T05:00:00+00:00,28.0,83,2.1,211,265.0
2026-07-02T06:00:00+00:00,27.1,85,0.8,333,250.0
2026-07-02T07:00:00+00:00,27.9,77,2.7,307,340.0
2026-07-02T08:00:00+00:00,29.7,69,5.2,6,855.0
2026-07-02T09:00:00+00:00,30.2,66,6.3,355,815.0
2026-07-02T10:00:00+00:00,30.8,65,6.6,313,880.0
2026-07-02T11:00:00+00:00,31.2,64,5.8,340,1160.0
2026-07-02T12:00:00+00:00,31.5,64,4.0,58,1135.0
2026-07-02T13:00:00+00:00,31.4,65,3.3,68,475.0
2026-07-02T14:00:00+00:00,30.7,73,5.3,62,360.0
2026-07-02T15:00:00+00:00,30.0,78,5.6,73,390.0
2026-07-02T16:00:00+00:00,29.7,81,5.8,83,420.0
2026-07-02T17:00:00+00:00,29.3,83,6.2,83,400.0
2026-07-02T18:00:00+00:00,29.2,82,7.4,91,380.0
2026-07-02T19:00:00+00:00,28.9,84,5.4,90,350.0
2026-07-02T20:00:00+00:00,28.6,86,6.4,80,365.0
2026-07-02T21:00:00+00:00,28.2,87,6.9,84,355.0
2026-07-02T22:00:00+00:00,27.9,88,6.3,88,320.0
2026-07-02T23:00:00+00:00,27.8,88,6.5,90,305.0
2026-07-03T00:00:00+00:00,27.0,91,6.3,66,170.0
2026-07-03T01:00:00+00:00,27.6,87,5.8,76,210.0
2026-07-03T02:00:00+00:00,28.8,81,3.6,81,240.0
2026-07-03T03:00:00+00:00,30.5,73,4.3,85,395.0
2026-07-03T04:00:00+00:00,32.4,62,6.0,99,1040.0
2026-07-03T05:00:00+00:00,33.5,55,7.9,125,1240.0
2026-07-03T06:00:00+00:00,34.5,49,5.8,160,1265.0
2026-07-03T07:00:00+00:00,33.8,54,6.2,165,1225.0
2026-07-03T08:00:00+00:00,33.9,55,4.8,155,1225.0
2026-07-03T09:00:00+00:00,34.0,55,2.9,173,1300.0
2026-07-03T10:00:00+00:00,34.3,54,2.4,193,1365.0
2026-07-03T11:00:00+00:00,34.4,53,2.9,187,1410.0
2026-07-03T12:00:00+00:00,33.8,57,5.6,180,1250.0
2026-07-03T13:00:00+00:00,32.7,64,5.8,175,435.0
2026-07-03T14:00:00+00:00,31.6,71,6.5,172,270.0
2026-07-03T15:00:00+00:00,30.9,75,4.8,165,195.0
2026-07-03T16:00:00+00:00,30.5,77,4.4,150,155.0
2026-07-03T17:00:00+00:00,30.4,79,4.2,137,130.0
2026-07-03T18:00:00+00:00,30.7,75,5.1,135,110.0
2026-07-03T19:00:00+00:00,30.5,74,3.9,103,110.0
2026-07-03T20:00:00+00:00,30.2,74,4.0,90,105.0
2026-07-03T21:00:00+00:00,30.0,74,4.3,95,130.0
2026-07-03T22:00:00+00:00,29.9,75,3.4,108,105.0
2026-07-03T23:00:00+00:00,29.9,76,2.4,103,60.0
2026-07-04T00:00:00+00:00,29.2,82,3.9,124,95.0
2026-07-04T01:00:00+00:00,29.6,81,3.8,115,165.0
2026-07-04T02:00:00+00:00,30.7,77,2.8,108,280.0
2026-07-04T03:00:00+00:00,31.2,71,4.9,126,590.0
2026-07-04T04:00:00+00:00,32.2,66,4.3,158,820.0
2026-07-04T05:00:00+00:00,33.4,62,4.1,151,1280.0
2026-07-04T06:00:00+00:00,32.6,65,2.5,159,1090.0
2026-07-04T07:00:00+00:00,34.1,57,2.4,207,1175.0
2026-07-04T08:00:00+00:00,35.7,51,2.2,265,1445.0
2026-07-04T09:00:00+00:00,36.4,49,3.9,294,1525.0
2026-07-04T10:00:00+00:00,36.5,48,5.1,306,1545.0
2026-07-04T11:00:00+00:00,36.5,49,5.2,326,1585.0
2026-07-04T12:00:00+00:00,33.4,67,6.8,335,785.0
2026-07-04T13:00:00+00:00,32.9,70,4.6,9,630.0
2026-07-04T14:00:00+00:00,32.1,78,2.2,76,85.0
2026-07-04T15:00:00+00:00,31.7,79,4.3,85,130.0
2026-07-04T16:00:00+00:00,31.5,81,2.7,132,30.0
2026-07-04T17:00:00+00:00,31.0,82,6.2,120,235.0
2026-07-04T18:00:00+00:00,31.7,76,6.1,66,260.0
2026-07-04T19:00:00+00:00,30.8,81,3.5,35,125.0
2026-07-04T20:00:00+00:00,30.4,84,3.2,16,120.0
2026-07-04T21:00:00+00:00,30.2,85,4.5,34,165.0
2026-07-04T22:00:00+00:00,29.7,86,6.1,120,220.0
2026-07-04T23:00:00+00:00,29.0,88,6.9,123,255.0
2026-07-05T00:00:00+00:00,28.8,91,6.6,101,165.0
2026-07-05T01:00:00+00:00,29.4,87,3.8,87,165.0
2026-07-05T02:00:00+00:00,30.8,80,3.8,93,200.0
2026-07-05T03:00:00+00:00,32.8,70,4.7,99,490.0
2026-07-05T04:00:00+00:00,34.4,59,4.7,118,1070.0
2026-07-05T05:00:00+00:00,34.5,55,8.8,102,1275.0
2026-07-05T06:00:00+00:00,31.5,75,6.5,30,395.0
2026-07-05T07:00:00+00:00,33.9,64,1.7,13,950.0
2026-07-05T08:00:00+00:00,33.4,63,8.4,83,880.0
2026-07-05T09:00:00+00:00,32.1,71,8.5,89,450.0
2026-07-05T10:00:00+00:00,32.9,69,2.7,82,525.0
2026-07-05T11:00:00+00:00,33.4,66,1.2,63,710.0
2026-07-05T12:00:00+00:00,31.5,72,5.3,82,510.0
2026-07-05T13:00:00+00:00,31.2,74,3.3,61,475.0
2026-07-05T14:00:00+00:00,30.9,77,7.4,89,370.0
2026-07-05T15:00:00+00:00,30.6,80,8.8,116,360.0
2026-07-05T16:00:00+00:00,30.3,82,6.3,114,325.0
2026-07-05T17:00:00+00:00,30.0,84,4.0,100,270.0
2026-07-05T18:00:00+00:00,30.0,82,3.9,114,195.0
2026-07-05T19:00:00+00:00,30.1,80,7.3,115,295.0
2026-07-05T20:00:00+00:00,30.1,77,6.5,113,380.0
2026-07-05T21:00:00+00:00,29.9,77,7.3,123,385.0
2026-07-05T22:00:00+00:00,29.7,77,5.1,129,285.0
2026-07-05T23:00:00+00:00,29.6,78,1.6,174,175.0
2026-07-06T00:00:00+00:00,26.8,95,5.9,88,75.0
2026-07-06T01:00:00+00:00,27.7,94,5.1,58,150.0
2026-07-06T02:00:00+00:00,28.7,89,3.1,59,200.0
2026-07-06T03:00:00+00:00,30.3,82,3.5,81,325.0
2026-07-06T04:00:00+00:00,31.7,76,4.4,111,595.0
2026-07-06T05:00:00+00:00,33.0,67,5.7,131,925.0
2026-07-06T06:00:00+00:00,34.1,55,7.3,144,1150.0
2026-07-06T07:00:00+00:00,35.3,50,2.3,151,1435.0
2026-07-06T08:00:00+00:00,36.1,48,0.4,297,1605.0
2026-07-06T09:00:00+00:00,36.5,48,2.0,280,1775.0
2026-07-06T10:00:00+00:00,36.7,48,2.6,286,1930.0
2026-07-06T11:00:00+00:00,36.6,48,1.1,279,1855.0
2026-07-06T12:00:00+00:00,34.5,59,7.0,119,520.0
2026-07-06T13:00:00+00:00,33.6,68,4.5,143,150.0
2026-07-06T14:00:00+00:00,32.5,76,3.3,229,45.0
2026-07-06T15:00:00+00:00,32.1,80,2.0,5,30.0
2026-07-06T16:00:00+00:00,32.0,78,4.2,83,145.0
2026-07-06T17:00:00+00:00,31.7,76,4.2,102,155.0
2026-07-06T18:00:00+00:00,31.1,79,3.5,111,85.0
2026-07-06T19:00:00+00:00,31.0,80,3.1,90,70.0
2026-07-06T20:00:00+00:00,30.9,81,2.3,94,65.0
2026-07-06T21:00:00+00:00,30.6,82,4.0,120,140.0
2026-07-06T22:00:00+00:00,30.2,84,3.7,125,160.0
2026-07-06T23:00:00+00:00,29.8,85,4.0,175,145.0
2026-07-07T00:00:00+00:00,27.5,96,7.9,16,120.0
2026-07-07T01:00:00+00:00,27.6,95,5.6,360,130.0
2026-07-07T02:00:00+00:00,28.2,95,5.0,178,155.0
2026-07-07T03:00:00+00:00,29.8,88,5.2,245,295.0
2026-07-07T04:00:00+00:00,31.6,76,7.5,250,495.0
2026-07-07T05:00:00+00:00,32.8,68,7.3,224,765.0
2026-07-07T06:00:00+00:00,31.0,81,4.9,287,440.0
2026-07-07T07:00:00+00:00,32.5,70,1.4,203,840.0
